277.08313	463.84522
331.2507	407.13422
358.93519	366.50544
355.72967	344.49819
373.56457	330.10883
399.30193	329.26239
396.42784	300.48368
449.60112	264.08706
475.17277	266.62636
480.4497	246.31197
562.19301	238.69407
562.77301	226.84401
610.46221	214.99395
640.93794	204.83676
696.73674	202.29746
1154.09532	132.88996
1231.68026	122.73277
1257.79047	114.26844
1318.1205	106.65054
1374.25073	97.33978
1467.88915	109.18984
1468.59343	94.80048
1511.83427	86.33615
1536.99163	97.33978
1576.23981	82.95042
1673.91231	99.87908
1768.87644	84.64329
1872.19873	73.63966
1983.71348	70.25393
